T17	Labour force participation and unemployment					
Region_Country/Area		Year	Serias	Value	Foodnotes	Source
258	French Polynesia	2015	Unemployment rate - Male	11. Apr	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
258	French Polynesia	2015	Labour force participation - Female	49.2	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
258	French Polynesia	2015	Unemployment rate - Female	13.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
258	French Polynesia	2023	Labour force participation - Total	55.6	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
258	French Polynesia	2023	Unemployment rate - Total	13. Jan	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
258	French Polynesia	2023	Labour force participation - Male	62.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
258	French Polynesia	2023	Unemployment rate - Male	12. Apr	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
258	French Polynesia	2023	Labour force participation - Female	49.1	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
258	French Polynesia	2023	Unemployment rate - Female	14. Jan	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
266	Gabon	2005	Labour force participation - Total	49.4	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
266	Gabon	2005	Unemployment rate - Total	16. Sep		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
266	Gabon	2005	Labour force participation - Male	59.8	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
266	Gabon	2005	Unemployment rate - Male	12. Sep		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
266	Gabon	2005	Labour force participation - Female	39.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
266	Gabon	2005	Unemployment rate - Female	23. Jan		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
266	Gabon	2010	Labour force participation - Total	48.7		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
266	Gabon	2010	Unemployment rate - Total	20. Apr		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
266	Gabon	2010	Labour force participation - Male	57.6		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
266	Gabon	2010	Unemployment rate - Male	14. Jul		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
266	Gabon	2010	Labour force participation - Female	39.5		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
266	Gabon	2010	Unemployment rate - Female	29.0		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
266	Gabon	2015	Labour force participation - Total	48.4	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
266	Gabon	2015	Unemployment rate - Total	20. Jun	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
266	Gabon	2015	Labour force participation - Male	56.4	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
266	Gabon	2015	Unemployment rate - Male	15. Mrz	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
266	Gabon	2015	Labour force participation - Female	39.8	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
266	Gabon	2015	Unemployment rate - Female	28. Jun	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
266	Gabon	2023	Labour force participation - Total	48.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
266	Gabon	2023	Unemployment rate - Total	21. Apr	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
266	Gabon	2023	Labour force participation - Male	56.2	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
266	Gabon	2023	Unemployment rate - Male	16. Jan	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
266	Gabon	2023	Labour force participation - Female	39.4	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
266	Gabon	2023	Unemployment rate - Female	29. Apr	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
270	Gambia	2005	Labour force participation - Total	58.4	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
270	Gambia	2005	Unemployment rate - Total	9.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
270	Gambia	2005	Labour force participation - Male	69.2	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
270	Gambia	2005	Unemployment rate - Male	06. Aug	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
270	Gambia	2005	Labour force participation - Female	48.3	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
270	Gambia	2005	Unemployment rate - Female	12.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
270	Gambia	2010	Labour force participation - Total	58.8	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
270	Gambia	2010	Unemployment rate - Total	09. Feb	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
270	Gambia	2010	Labour force participation - Male	68.5	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
270	Gambia	2010	Unemployment rate - Male	06. Aug	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
270	Gambia	2010	Labour force participation - Female	49.6	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
270	Gambia	2010	Unemployment rate - Female	12. Mai	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
270	Gambia	2015	Labour force participation - Total	59.9	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
270	Gambia	2015	Unemployment rate - Total	06. Aug	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
270	Gambia	2015	Labour force participation - Male	67.1	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
270	Gambia	2015	Unemployment rate - Male	05. Sep	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
270	Gambia	2015	Labour force participation - Female	53.1	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
270	Gambia	2015	Unemployment rate - Female	07. Sep	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
270	Gambia	2023	Labour force participation - Total	61.6	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
270	Gambia	2023	Unemployment rate - Total	04. Jul	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
